song,artist,uri,features_danceability,features_energy,features_key,features_loudness,features_mode,features_speechiness,features_acousticness,features_instrumentalness,features_liveness,features_valence,features_tempo,features_type,features_id,features_uri,features_track_href,features_analysis_url,features_duration_ms,features_time_signature
Did You See,J Hus,spotify:track:6DXEZzM4wBa3EOl0NCNSvz,0.579,0.579,11,-6.787,0,0.394,0.387,0,0.17,0.842,104.757,audio_features,6DXEZzM4wBa3EOl0NCNSvz,spotify:track:6DXEZzM4wBa3EOl0NCNSvz,https://api.spotify.com/v1/tracks/6DXEZzM4wBa3EOl0NCNSvz,https://api.spotify.com/v1/audio-analysis/6DXEZzM4wBa3EOl0NCNSvz,181413,4
Six Paths,Dave,spotify:track:4ZATL7LLPc0ihEslUdVeXL,0.688,0.749,5,-5.499,0,0.192,0.0552,0.000305,0.111,0.419,139.95,audio_features,4ZATL7LLPc0ihEslUdVeXL,spotify:track:4ZATL7LLPc0ihEslUdVeXL,https://api.spotify.com/v1/tracks/4ZATL7LLPc0ihEslUdVeXL,https://api.spotify.com/v1/audio-analysis/4ZATL7LLPc0ihEslUdVeXL,223176,4
"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",Diddy,spotify:track:6Wt5QBzHp9vdSLAFlvdnDQ,0.713,0.471,1,-7.392,0,0.483,0.421,0,0.0308,0.779,199.764,audio_features,6Wt5QBzHp9vdSLAFlvdnDQ,spotify:track:6Wt5QBzHp9vdSLAFlvdnDQ,https://api.spotify.com/v1/tracks/6Wt5QBzHp9vdSLAFlvdnDQ,https://api.spotify.com/v1/audio-analysis/6Wt5QBzHp9vdSLAFlvdnDQ,285587,4
When I Say I Love U - Saux Remix,Shy Girls,spotify:track:0KAnsEM9BCfyLq9JaFlAdI,0.726,0.399,0,-12.88,1,0.0667,0.362,0.0517,0.109,0.0608,103.99,audio_features,0KAnsEM9BCfyLq9JaFlAdI,spotify:track:0KAnsEM9BCfyLq9JaFlAdI,https://api.spotify.com/v1/tracks/0KAnsEM9BCfyLq9JaFlAdI,https://api.spotify.com/v1/audio-analysis/0KAnsEM9BCfyLq9JaFlAdI,257885,4
Hot Hands,Darius,spotify:track:4ck1odV3DkVFENc8vEPtGf,0.848,0.555,10,-9.248,0,0.0437,0.05,0.00688,0.115,0.343,109.988,audio_features,4ck1odV3DkVFENc8vEPtGf,spotify:track:4ck1odV3DkVFENc8vEPtGf,https://api.spotify.com/v1/tracks/4ck1odV3DkVFENc8vEPtGf,https://api.spotify.com/v1/audio-analysis/4ck1odV3DkVFENc8vEPtGf,253091,4
"Enzo (with Sheck Wes, feat. Offset, 21 Savage & Gucci Mane)",DJ Snake,spotify:track:6mCqxnyOhr4tHMbRbQL4Yn,0.787,0.728,2,-4.049,1,0.0417,0.0902,0,0.316,0.198,119.945,audio_features,6mCqxnyOhr4tHMbRbQL4Yn,spotify:track:6mCqxnyOhr4tHMbRbQL4Yn,https://api.spotify.com/v1/tracks/6mCqxnyOhr4tHMbRbQL4Yn,https://api.spotify.com/v1/audio-analysis/6mCqxnyOhr4tHMbRbQL4Yn,248043,4
Shooters,Tory Lanez,spotify:track:6TrjaOqUwdKQ7KNxJr2s9Y,0.639,0.547,7,-6.237,0,0.0434,0.115,0,0.373,0.117,129.939,audio_features,6TrjaOqUwdKQ7KNxJr2s9Y,spotify:track:6TrjaOqUwdKQ7KNxJr2s9Y,https://api.spotify.com/v1/tracks/6TrjaOqUwdKQ7KNxJr2s9Y,https://api.spotify.com/v1/audio-analysis/6TrjaOqUwdKQ7KNxJr2s9Y,208173,4
Unjudge Me (feat. Moneybagg Yo),Calboy,spotify:track:4oV9EnNYheczqyY7bqareU,0.704,0.718,0,-7.042,1,0.12,0.308,0,0.342,0.437,148.998,audio_features,4oV9EnNYheczqyY7bqareU,spotify:track:4oV9EnNYheczqyY7bqareU,https://api.spotify.com/v1/tracks/4oV9EnNYheczqyY7bqareU,https://api.spotify.com/v1/audio-analysis/4oV9EnNYheczqyY7bqareU,206453,4
Die Young,Roddy Ricch,spotify:track:3wLtYwtqvKK2ewelSVPeDK,0.688,0.656,4,-5.541,0,0.276,0.218,0,0.115,0.365,160.414,audio_features,3wLtYwtqvKK2ewelSVPeDK,spotify:track:3wLtYwtqvKK2ewelSVPeDK,https://api.spotify.com/v1/tracks/3wLtYwtqvKK2ewelSVPeDK,https://api.spotify.com/v1/audio-analysis/3wLtYwtqvKK2ewelSVPeDK,157657,4
She Bad,Tyla Yaweh,spotify:track:7Im9JRMR5HVp9PmHjCsv75,0.679,0.526,4,-7.641,0,0.172,0.197,0,0.0792,0.231,105.133,audio_features,7Im9JRMR5HVp9PmHjCsv75,spotify:track:7Im9JRMR5HVp9PmHjCsv75,https://api.spotify.com/v1/tracks/7Im9JRMR5HVp9PmHjCsv75,https://api.spotify.com/v1/audio-analysis/7Im9JRMR5HVp9PmHjCsv75,221714,4
Wraith Skating (feat. PnB Rock),Tyla Yaweh,spotify:track:7gJPfXd1bWdfyKVIMS8rsq,0.782,0.669,7,-4.767,1,0.0658,0.018,0,0.134,0.543,151.935,audio_features,7gJPfXd1bWdfyKVIMS8rsq,spotify:track:7gJPfXd1bWdfyKVIMS8rsq,https://api.spotify.com/v1/tracks/7gJPfXd1bWdfyKVIMS8rsq,https://api.spotify.com/v1/audio-analysis/7gJPfXd1bWdfyKVIMS8rsq,154330,4
Salute (feat. French Montana),Tyla Yaweh,spotify:track:4JIPyaaceaEZtOJAWmzBzF,0.768,0.729,9,-4.079,0,0.102,0.331,0,0.126,0.588,152.038,audio_features,4JIPyaaceaEZtOJAWmzBzF,spotify:track:4JIPyaaceaEZtOJAWmzBzF,https://api.spotify.com/v1/tracks/4JIPyaaceaEZtOJAWmzBzF,https://api.spotify.com/v1/audio-analysis/4JIPyaaceaEZtOJAWmzBzF,182957,4
