song,artist,uri,features_danceability,features_energy,features_key,features_loudness,features_mode,features_speechiness,features_acousticness,features_instrumentalness,features_liveness,features_valence,features_tempo,features_type,features_id,features_uri,features_track_href,features_analysis_url,features_duration_ms,features_time_signature
Alright,Kendrick Lamar,spotify:track:3iVcZ5G6tvkXZkZKlMpIUs,0.796,0.766,7,-5.974,1,0.238,0.0742,0,0.0827,0.558,110.034,audio_features,3iVcZ5G6tvkXZkZKlMpIUs,spotify:track:3iVcZ5G6tvkXZkZKlMpIUs,https://api.spotify.com/v1/tracks/3iVcZ5G6tvkXZkZKlMpIUs,https://api.spotify.com/v1/audio-analysis/3iVcZ5G6tvkXZkZKlMpIUs,219333,4
Backseat Freestyle,Kendrick Lamar,spotify:track:0vjKXtFLt6Ti08Y3JCnRKB,0.546,0.651,1,-7.601,1,0.3,0.000739,0,0.235,0.646,77.878,audio_features,0vjKXtFLt6Ti08Y3JCnRKB,spotify:track:0vjKXtFLt6Ti08Y3JCnRKB,https://api.spotify.com/v1/tracks/0vjKXtFLt6Ti08Y3JCnRKB,https://api.spotify.com/v1/audio-analysis/0vjKXtFLt6Ti08Y3JCnRKB,212653,4
Money Trees,Kendrick Lamar,spotify:track:74tLlkN3rgVzRqQJgPfink,0.716,0.531,7,-7.355,1,0.122,0.0703,0,0.224,0.344,71.994,audio_features,74tLlkN3rgVzRqQJgPfink,spotify:track:74tLlkN3rgVzRqQJgPfink,https://api.spotify.com/v1/tracks/74tLlkN3rgVzRqQJgPfink,https://api.spotify.com/v1/audio-analysis/74tLlkN3rgVzRqQJgPfink,386907,4
The Thrill,Wiz Khalifa,spotify:track:4wqzOaLxiCRy2Et8tRyNSX,0.817,0.775,10,-4.767,0,0.108,0.277,0,0.108,0.806,126.984,audio_features,4wqzOaLxiCRy2Et8tRyNSX,spotify:track:4wqzOaLxiCRy2Et8tRyNSX,https://api.spotify.com/v1/tracks/4wqzOaLxiCRy2Et8tRyNSX,https://api.spotify.com/v1/audio-analysis/4wqzOaLxiCRy2Et8tRyNSX,234334,4
Still Wiz,Wiz Khalifa,spotify:track:6eF9HLVa6k163wJyHjbN4V,0.75,0.663,4,-5.259,1,0.174,0.0564,0,0.0583,0.374,180.041,audio_features,6eF9HLVa6k163wJyHjbN4V,spotify:track:6eF9HLVa6k163wJyHjbN4V,https://api.spotify.com/v1/tracks/6eF9HLVa6k163wJyHjbN4V,https://api.spotify.com/v1/audio-analysis/6eF9HLVa6k163wJyHjbN4V,170658,4
You and Your Friends (feat. Snoop Dogg & Ty Dolla $ign),Wiz Khalifa,spotify:track:1eL8wZKx7CVJVbZG12becL,0.783,0.662,7,-6.124,1,0.0415,0.126,0,0.101,0.523,96.987,audio_features,1eL8wZKx7CVJVbZG12becL,spotify:track:1eL8wZKx7CVJVbZG12becL,https://api.spotify.com/v1/tracks/1eL8wZKx7CVJVbZG12becL,https://api.spotify.com/v1/audio-analysis/1eL8wZKx7CVJVbZG12becL,186373,4
True Colors (feat. Nicki Minaj),Wiz Khalifa,spotify:track:7GqXcMf2Pnbz8pWn3lQeJr,0.805,0.744,0,-6.02,1,0.0572,0.00451,0,0.35,0.519,124.983,audio_features,7GqXcMf2Pnbz8pWn3lQeJr,spotify:track:7GqXcMf2Pnbz8pWn3lQeJr,https://api.spotify.com/v1/tracks/7GqXcMf2Pnbz8pWn3lQeJr,https://api.spotify.com/v1/audio-analysis/7GqXcMf2Pnbz8pWn3lQeJr,255147,4
DEVASTATED,Joey Bada$$,spotify:track:4PnNzWe1LJoAMD5j5RHpI0,0.812,0.628,10,-6.164,0,0.0682,0.0634,0,0.254,0.485,123.004,audio_features,4PnNzWe1LJoAMD5j5RHpI0,spotify:track:4PnNzWe1LJoAMD5j5RHpI0,https://api.spotify.com/v1/tracks/4PnNzWe1LJoAMD5j5RHpI0,https://api.spotify.com/v1/audio-analysis/4PnNzWe1LJoAMD5j5RHpI0,207059,4
Ric Flair Drip (with Metro Boomin),Offset,spotify:track:7sO5G9EABYOXQKNPNiE9NR,0.88,0.428,9,-8.28,1,0.206,0.149,5.05e-05,0.114,0.333,100.007,audio_features,7sO5G9EABYOXQKNPNiE9NR,spotify:track:7sO5G9EABYOXQKNPNiE9NR,https://api.spotify.com/v1/tracks/7sO5G9EABYOXQKNPNiE9NR,https://api.spotify.com/v1/audio-analysis/7sO5G9EABYOXQKNPNiE9NR,172800,4
Over Your Head,Future,spotify:track:7JsuXl9Odf3V38ksu4FWDZ,0.773,0.742,5,-5.453,0,0.162,0.00198,0,0.558,0.35,148.949,audio_features,7JsuXl9Odf3V38ksu4FWDZ,spotify:track:7JsuXl9Odf3V38ksu4FWDZ,https://api.spotify.com/v1/tracks/7JsuXl9Odf3V38ksu4FWDZ,https://api.spotify.com/v1/audio-analysis/7JsuXl9Odf3V38ksu4FWDZ,186843,4
Share That Love,Lukas Graham,spotify:track:6ngetopCyhPMtVUsUCXlo3,0.775,0.625,11,-4.293,0,0.0622,0.224,0,0.0836,0.789,79.018,audio_features,6ngetopCyhPMtVUsUCXlo3,spotify:track:6ngetopCyhPMtVUsUCXlo3,https://api.spotify.com/v1/tracks/6ngetopCyhPMtVUsUCXlo3,https://api.spotify.com/v1/audio-analysis/6ngetopCyhPMtVUsUCXlo3,148103,4
Wave Blues (feat. Benny the Butcher),French Montana,spotify:track:4F7ArOheAkEeTB1QN6toCN,0.413,0.712,5,-7.005,0,0.507,0.481,1.29e-05,0.111,0.307,177.806,audio_features,4F7ArOheAkEeTB1QN6toCN,spotify:track:4F7ArOheAkEeTB1QN6toCN,https://api.spotify.com/v1/tracks/4F7ArOheAkEeTB1QN6toCN,https://api.spotify.com/v1/audio-analysis/4F7ArOheAkEeTB1QN6toCN,249438,4
Hell on Earth (Front Lines),Mobb Deep,spotify:track:1RjU7UhRICmdFPKxCucLgq,0.875,0.658,0,-3.641,1,0.359,0.275,0,0.122,0.661,92.038,audio_features,1RjU7UhRICmdFPKxCucLgq,spotify:track:1RjU7UhRICmdFPKxCucLgq,https://api.spotify.com/v1/tracks/1RjU7UhRICmdFPKxCucLgq,https://api.spotify.com/v1/audio-analysis/1RjU7UhRICmdFPKxCucLgq,274093,4
Baby Sasuke,Future,spotify:track:4Y4Xmm8OLUJSdR9OkaxV97,0.66,0.633,3,-5.782,0,0.149,0.689,0,0.129,0.715,145.995,audio_features,4Y4Xmm8OLUJSdR9OkaxV97,spotify:track:4Y4Xmm8OLUJSdR9OkaxV97,https://api.spotify.com/v1/tracks/4Y4Xmm8OLUJSdR9OkaxV97,https://api.spotify.com/v1/audio-analysis/4Y4Xmm8OLUJSdR9OkaxV97,210411,4
Bust a Move,Future,spotify:track:2z0LyXYmPgos95olIAQIO3,0.804,0.683,2,-7.344,1,0.055,0.0109,0,0.0693,0.229,140.035,audio_features,2z0LyXYmPgos95olIAQIO3,spotify:track:2z0LyXYmPgos95olIAQIO3,https://api.spotify.com/v1/tracks/2z0LyXYmPgos95olIAQIO3,https://api.spotify.com/v1/audio-analysis/2z0LyXYmPgos95olIAQIO3,226286,4
Because of You,Future,spotify:track:6vbe3GmRG30x2nraEvHudq,0.781,0.469,10,-8.456,0,0.0549,0.445,0,0.0921,0.518,132.989,audio_features,6vbe3GmRG30x2nraEvHudq,spotify:track:6vbe3GmRG30x2nraEvHudq,https://api.spotify.com/v1/tracks/6vbe3GmRG30x2nraEvHudq,https://api.spotify.com/v1/audio-analysis/6vbe3GmRG30x2nraEvHudq,216541,4
Heart In Pieces,Future,spotify:track:669gYFBhezfYPXQP1hBMOX,0.872,0.699,1,-6.127,1,0.0487,0.276,0,0.103,0.725,138.929,audio_features,669gYFBhezfYPXQP1hBMOX,spotify:track:669gYFBhezfYPXQP1hBMOX,https://api.spotify.com/v1/tracks/669gYFBhezfYPXQP1hBMOX,https://api.spotify.com/v1/audio-analysis/669gYFBhezfYPXQP1hBMOX,196835,4
Stripes Like Burberry,Future,spotify:track:68ra53eElfqZM8G9fuOFSj,0.758,0.574,9,-7.833,0,0.217,0.216,0,0.144,0.706,144.081,audio_features,68ra53eElfqZM8G9fuOFSj,spotify:track:68ra53eElfqZM8G9fuOFSj,https://api.spotify.com/v1/tracks/68ra53eElfqZM8G9fuOFSj,https://api.spotify.com/v1/audio-analysis/68ra53eElfqZM8G9fuOFSj,274313,4
Monster (Shawn Mendes & Justin Bieber),Shawn Mendes,spotify:track:2Z8yfpFX0ZMavHkcIeHiO1,0.652,0.383,2,-7.076,0,0.0516,0.0676,0,0.0828,0.549,145.765,audio_features,2Z8yfpFX0ZMavHkcIeHiO1,spotify:track:2Z8yfpFX0ZMavHkcIeHiO1,https://api.spotify.com/v1/tracks/2Z8yfpFX0ZMavHkcIeHiO1,https://api.spotify.com/v1/audio-analysis/2Z8yfpFX0ZMavHkcIeHiO1,178994,4
Mula,Zola,spotify:track:2tSg7ayjflXvWuknoyOFtg,0.906,0.641,4,-6.169,0,0.17,0.404,0.00511,0.1,0.55,100.108,audio_features,2tSg7ayjflXvWuknoyOFtg,spotify:track:2tSg7ayjflXvWuknoyOFtg,https://api.spotify.com/v1/tracks/2tSg7ayjflXvWuknoyOFtg,https://api.spotify.com/v1/audio-analysis/2tSg7ayjflXvWuknoyOFtg,189373,4
Ransom (feat. 6LACK & Kehlani),SAINt JHN,spotify:track:5dUCm0vB6nrNDDQzhvLjfU,0.433,0.549,0,-8.752,0,0.373,0.57,0,0.117,0.329,79.907,audio_features,5dUCm0vB6nrNDDQzhvLjfU,spotify:track:5dUCm0vB6nrNDDQzhvLjfU,https://api.spotify.com/v1/tracks/5dUCm0vB6nrNDDQzhvLjfU,https://api.spotify.com/v1/audio-analysis/5dUCm0vB6nrNDDQzhvLjfU,203465,1
Back On The Ledge,SAINt JHN,spotify:track:4mCPbnIL6Motc9UdQs8aJc,0.763,0.638,4,-5.766,1,0.054,0.0399,0.00227,0.102,0.162,126.004,audio_features,4mCPbnIL6Motc9UdQs8aJc,spotify:track:4mCPbnIL6Motc9UdQs8aJc,https://api.spotify.com/v1/tracks/4mCPbnIL6Motc9UdQs8aJc,https://api.spotify.com/v1/audio-analysis/4mCPbnIL6Motc9UdQs8aJc,185633,4
Quarantine Wifey (feat. JID),SAINt JHN,spotify:track:7JotyF5LifmbknSYVadOHI,0.832,0.671,8,-6.885,1,0.293,0.061,0,0.391,0.568,141.98,audio_features,7JotyF5LifmbknSYVadOHI,spotify:track:7JotyF5LifmbknSYVadOHI,https://api.spotify.com/v1/tracks/7JotyF5LifmbknSYVadOHI,https://api.spotify.com/v1/audio-analysis/7JotyF5LifmbknSYVadOHI,234272,4
Brother’s Keeper,DaBaby,spotify:track:6Et7bBOxtMxcCa7MyjKpr3,0.751,0.678,1,-5.956,0,0.357,0.189,0,0.51,0.782,154.896,audio_features,6Et7bBOxtMxcCa7MyjKpr3,spotify:track:6Et7bBOxtMxcCa7MyjKpr3,https://api.spotify.com/v1/tracks/6Et7bBOxtMxcCa7MyjKpr3,https://api.spotify.com/v1/audio-analysis/6Et7bBOxtMxcCa7MyjKpr3,126859,4
Shanyah,DaBaby,spotify:track:7umhatV3DbNjBP6iyQw8ZX,0.866,0.514,4,-8.697,1,0.293,0.0251,0,0.0682,0.391,119.85,audio_features,7umhatV3DbNjBP6iyQw8ZX,spotify:track:7umhatV3DbNjBP6iyQw8ZX,https://api.spotify.com/v1/tracks/7umhatV3DbNjBP6iyQw8ZX,https://api.spotify.com/v1/audio-analysis/7umhatV3DbNjBP6iyQw8ZX,160056,4
Gucci Peacoat,DaBaby,spotify:track:0lQ1lmYqurunIRdoVVVHM1,0.91,0.657,0,-8.489,0,0.235,0.0798,0,0.307,0.448,122.911,audio_features,0lQ1lmYqurunIRdoVVVHM1,spotify:track:0lQ1lmYqurunIRdoVVVHM1,https://api.spotify.com/v1/tracks/0lQ1lmYqurunIRdoVVVHM1,https://api.spotify.com/v1/audio-analysis/0lQ1lmYqurunIRdoVVVHM1,172099,4
More Money More Problems,DaBaby,spotify:track:7hnsZNApFDcPKrPNwedYpJ,0.837,0.524,11,-9.167,1,0.346,0.0647,0,0.06,0.762,81.954,audio_features,7hnsZNApFDcPKrPNwedYpJ,spotify:track:7hnsZNApFDcPKrPNwedYpJ,https://api.spotify.com/v1/tracks/7hnsZNApFDcPKrPNwedYpJ,https://api.spotify.com/v1/audio-analysis/7hnsZNApFDcPKrPNwedYpJ,179095,4
Shots Fired,Megan Thee Stallion,spotify:track:3yhhv0VCmKkAWD9ysDLpTE,0.826,0.655,2,-4.775,1,0.3,0.000761,0,0.0841,0.45,184.057,audio_features,3yhhv0VCmKkAWD9ysDLpTE,spotify:track:3yhhv0VCmKkAWD9ysDLpTE,https://api.spotify.com/v1/tracks/3yhhv0VCmKkAWD9ysDLpTE,https://api.spotify.com/v1/audio-analysis/3yhhv0VCmKkAWD9ysDLpTE,170871,4
Stockholm Syndrome (feat. KXNG Crooked),Russ,spotify:track:2jeUX4OsipQqpeiBCWSnGR,0.659,0.878,2,-4.879,1,0.366,0.0897,0,0.0524,0.502,124.819,audio_features,2jeUX4OsipQqpeiBCWSnGR,spotify:track:2jeUX4OsipQqpeiBCWSnGR,https://api.spotify.com/v1/tracks/2jeUX4OsipQqpeiBCWSnGR,https://api.spotify.com/v1/audio-analysis/2jeUX4OsipQqpeiBCWSnGR,264413,4
Who Wants What,Russ,spotify:track:2z3woIGj8hClFZVq0Hvcwr,0.716,0.817,7,-4.895,0,0.341,0.168,0,0.0914,0.293,85.093,audio_features,2z3woIGj8hClFZVq0Hvcwr,spotify:track:2z3woIGj8hClFZVq0Hvcwr,https://api.spotify.com/v1/tracks/2z3woIGj8hClFZVq0Hvcwr,https://api.spotify.com/v1/audio-analysis/2z3woIGj8hClFZVq0Hvcwr,323304,4
Inside Job (feat. DJ Premier),Russ,spotify:track:4UrWls30wtlSJjzaqtpNcJ,0.641,0.838,4,-5.677,0,0.242,0.114,0,0.441,0.758,85.918,audio_features,4UrWls30wtlSJjzaqtpNcJ,spotify:track:4UrWls30wtlSJjzaqtpNcJ,https://api.spotify.com/v1/tracks/4UrWls30wtlSJjzaqtpNcJ,https://api.spotify.com/v1/audio-analysis/4UrWls30wtlSJjzaqtpNcJ,170296,4
Middle of It (feat. Vory),Meek Mill,spotify:track:7pAx4fG3EJzPyZkqPVvy4n,0.741,0.666,1,-3.938,0,0.228,0.119,0,0.175,0.276,148.887,audio_features,7pAx4fG3EJzPyZkqPVvy4n,spotify:track:7pAx4fG3EJzPyZkqPVvy4n,https://api.spotify.com/v1/tracks/7pAx4fG3EJzPyZkqPVvy4n,https://api.spotify.com/v1/audio-analysis/7pAx4fG3EJzPyZkqPVvy4n,206197,4
Serene,Kodak Black,spotify:track:1qlws3Bwvo2AFYG9Ez6OCQ,0.828,0.564,6,-5.861,0,0.065,0.309,0,0.0763,0.463,124.965,audio_features,1qlws3Bwvo2AFYG9Ez6OCQ,spotify:track:1qlws3Bwvo2AFYG9Ez6OCQ,https://api.spotify.com/v1/tracks/1qlws3Bwvo2AFYG9Ez6OCQ,https://api.spotify.com/v1/audio-analysis/1qlws3Bwvo2AFYG9Ez6OCQ,215040,4
Blue Notes,Meek Mill,spotify:track:7Gs3otHnZDq514kFHf0nx7,0.515,0.431,4,-8.251,1,0.257,0.665,0,0.147,0.184,141.392,audio_features,7Gs3otHnZDq514kFHf0nx7,spotify:track:7Gs3otHnZDq514kFHf0nx7,https://api.spotify.com/v1/tracks/7Gs3otHnZDq514kFHf0nx7,https://api.spotify.com/v1/audio-analysis/7Gs3otHnZDq514kFHf0nx7,227809,4
"Monica Lewinsky, Election Year (feat. DaBaby & A Boogie Wit da Hoodie)",SAINt JHN,spotify:track:3Ii3z0Zv6k1xVf35loSXS9,0.846,0.675,0,-5.124,0,0.139,0.272,0,0.108,0.564,106.015,audio_features,3Ii3z0Zv6k1xVf35loSXS9,spotify:track:3Ii3z0Zv6k1xVf35loSXS9,https://api.spotify.com/v1/tracks/3Ii3z0Zv6k1xVf35loSXS9,https://api.spotify.com/v1/audio-analysis/3Ii3z0Zv6k1xVf35loSXS9,210569,4
Prince de la Calle,SDM,spotify:track:1TMckqUeZFs5AdbDitsiMI,0.65,0.377,4,-6.525,0,0.107,0.443,1.54e-06,0.115,0.376,179.974,audio_features,1TMckqUeZFs5AdbDitsiMI,spotify:track:1TMckqUeZFs5AdbDitsiMI,https://api.spotify.com/v1/tracks/1TMckqUeZFs5AdbDitsiMI,https://api.spotify.com/v1/audio-analysis/1TMckqUeZFs5AdbDitsiMI,198027,3
Champs-Élysées,SCH,spotify:track:3GA0XILGuMHjTTGcQtP7lu,0.659,0.532,0,-7.446,1,0.159,0.196,4.73e-06,0.0803,0.25,75.0,audio_features,3GA0XILGuMHjTTGcQtP7lu,spotify:track:3GA0XILGuMHjTTGcQtP7lu,https://api.spotify.com/v1/tracks/3GA0XILGuMHjTTGcQtP7lu,https://api.spotify.com/v1/audio-analysis/3GA0XILGuMHjTTGcQtP7lu,225920,3
Je vis je visser,PNL,spotify:track:6DBSDcKDo51KcUmEqCTHzB,0.302,0.764,8,-5.467,0,0.221,0.839,0,0.0867,0.35,175.324,audio_features,6DBSDcKDo51KcUmEqCTHzB,spotify:track:6DBSDcKDo51KcUmEqCTHzB,https://api.spotify.com/v1/tracks/6DBSDcKDo51KcUmEqCTHzB,https://api.spotify.com/v1/audio-analysis/6DBSDcKDo51KcUmEqCTHzB,226533,3
Allo maman,SCH,spotify:track:7fItq8fcHDkZRUWUATwnol,0.68,0.724,11,-6.148,0,0.277,0.615,0,0.115,0.538,136.147,audio_features,7fItq8fcHDkZRUWUATwnol,spotify:track:7fItq8fcHDkZRUWUATwnol,https://api.spotify.com/v1/tracks/7fItq8fcHDkZRUWUATwnol,https://api.spotify.com/v1/audio-analysis/7fItq8fcHDkZRUWUATwnol,204733,4
Mayday (feat. Captaine Roshi),Squidji,spotify:track:3U5RbV7qw4VRG0XDYaSdHV,0.741,0.53,4,-7.885,0,0.259,0.0939,0,0.127,0.395,139.969,audio_features,3U5RbV7qw4VRG0XDYaSdHV,spotify:track:3U5RbV7qw4VRG0XDYaSdHV,https://api.spotify.com/v1/tracks/3U5RbV7qw4VRG0XDYaSdHV,https://api.spotify.com/v1/audio-analysis/3U5RbV7qw4VRG0XDYaSdHV,229120,4
Je roule,Krisy,spotify:track:0HMW50ebyIb2XTnZ2soCR6,0.815,0.372,7,-14.156,1,0.215,0.338,0.0072,0.14,0.783,82.049,audio_features,0HMW50ebyIb2XTnZ2soCR6,spotify:track:0HMW50ebyIb2XTnZ2soCR6,https://api.spotify.com/v1/tracks/0HMW50ebyIb2XTnZ2soCR6,https://api.spotify.com/v1/audio-analysis/0HMW50ebyIb2XTnZ2soCR6,204882,4
Emotionally Scarred,Lil Baby,spotify:track:7ge7BHazYbVKi8qyZUX1Bm,0.585,0.641,6,-4.269,0,0.133,0.0286,0,0.316,0.266,88.284,audio_features,7ge7BHazYbVKi8qyZUX1Bm,spotify:track:7ge7BHazYbVKi8qyZUX1Bm,https://api.spotify.com/v1/tracks/7ge7BHazYbVKi8qyZUX1Bm,https://api.spotify.com/v1/audio-analysis/7ge7BHazYbVKi8qyZUX1Bm,197530,4
Runaway,Kanye West,spotify:track:3DK6m7It6Pw857FcQftMds,0.374,0.568,1,-3.825,0,0.109,0.219,0.00219,0.513,0.111,84.733,audio_features,3DK6m7It6Pw857FcQftMds,spotify:track:3DK6m7It6Pw857FcQftMds,https://api.spotify.com/v1/tracks/3DK6m7It6Pw857FcQftMds,https://api.spotify.com/v1/audio-analysis/3DK6m7It6Pw857FcQftMds,547733,4
Because Of You,Kodak Black,spotify:track:75N0cen8wTAlL5nPFprGoE,0.474,0.573,1,-4.754,0,0.225,0.303,0,0.193,0.154,85.669,audio_features,75N0cen8wTAlL5nPFprGoE,spotify:track:75N0cen8wTAlL5nPFprGoE,https://api.spotify.com/v1/tracks/75N0cen8wTAlL5nPFprGoE,https://api.spotify.com/v1/audio-analysis/75N0cen8wTAlL5nPFprGoE,147253,4
Whoopty,CJ,spotify:track:5vGLcdRuSbUhD8ScwsGSdA,0.719,0.648,3,-7.6,0,0.125,0.2,0,0.127,0.66,140.201,audio_features,5vGLcdRuSbUhD8ScwsGSdA,spotify:track:5vGLcdRuSbUhD8ScwsGSdA,https://api.spotify.com/v1/tracks/5vGLcdRuSbUhD8ScwsGSdA,https://api.spotify.com/v1/audio-analysis/5vGLcdRuSbUhD8ScwsGSdA,123263,4
Féfé lambo,Djadja & Dinaz,spotify:track:5hzg9p5zoHldX1O9v8qJor,0.734,0.665,11,-7.913,0,0.141,0.0769,0,0.0733,0.762,125.967,audio_features,5hzg9p5zoHldX1O9v8qJor,spotify:track:5hzg9p5zoHldX1O9v8qJor,https://api.spotify.com/v1/tracks/5hzg9p5zoHldX1O9v8qJor,https://api.spotify.com/v1/audio-analysis/5hzg9p5zoHldX1O9v8qJor,162230,4
Feen,Luh Kel,spotify:track:2qTcJF53V5rsJd82CVFadL,0.644,0.71,0,-4.078,0,0.04,0.312,0,0.101,0.229,143.061,audio_features,2qTcJF53V5rsJd82CVFadL,spotify:track:2qTcJF53V5rsJd82CVFadL,https://api.spotify.com/v1/tracks/2qTcJF53V5rsJd82CVFadL,https://api.spotify.com/v1/audio-analysis/2qTcJF53V5rsJd82CVFadL,179372,4
BOZOS,Tobe Nwigwe,spotify:track:6IBS5gOzRlnjFLUeH5pYjZ,0.714,0.816,1,-9.401,1,0.123,0.115,8.01e-06,0.105,0.558,103.486,audio_features,6IBS5gOzRlnjFLUeH5pYjZ,spotify:track:6IBS5gOzRlnjFLUeH5pYjZ,https://api.spotify.com/v1/tracks/6IBS5gOzRlnjFLUeH5pYjZ,https://api.spotify.com/v1/audio-analysis/6IBS5gOzRlnjFLUeH5pYjZ,206377,4
Nunca Estoy,C. Tangana,spotify:track:6f4LYJwICqxoAILj82kwB0,0.917,0.377,2,-5.132,1,0.161,0.474,0.00367,0.298,0.398,134.994,audio_features,6f4LYJwICqxoAILj82kwB0,spotify:track:6f4LYJwICqxoAILj82kwB0,https://api.spotify.com/v1/tracks/6f4LYJwICqxoAILj82kwB0,https://api.spotify.com/v1/audio-analysis/6f4LYJwICqxoAILj82kwB0,162222,4
Catch A Better Vibe,Olo Pack,spotify:track:3tex2ewljX7HJDrzU5BhDo,0.879,0.279,1,-16.348,1,0.383,0.185,0,0.105,0.61,95.001,audio_features,3tex2ewljX7HJDrzU5BhDo,spotify:track:3tex2ewljX7HJDrzU5BhDo,https://api.spotify.com/v1/tracks/3tex2ewljX7HJDrzU5BhDo,https://api.spotify.com/v1/audio-analysis/3tex2ewljX7HJDrzU5BhDo,171572,4
The Parables,Cordae,spotify:track:0uinQuLSYDMua89kLVVnjv,0.648,0.722,3,-9.992,0,0.489,0.027,0,0.169,0.275,176.553,audio_features,0uinQuLSYDMua89kLVVnjv,spotify:track:0uinQuLSYDMua89kLVVnjv,https://api.spotify.com/v1/tracks/0uinQuLSYDMua89kLVVnjv,https://api.spotify.com/v1/audio-analysis/0uinQuLSYDMua89kLVVnjv,194359,4
A Beautiful Day,Xen Nightz,spotify:track:5LuyT36HzCEJjbVEPC1sBx,0.642,0.964,1,-2.588,1,0.175,0.0545,0.01,0.147,0.656,148.944,audio_features,5LuyT36HzCEJjbVEPC1sBx,spotify:track:5LuyT36HzCEJjbVEPC1sBx,https://api.spotify.com/v1/tracks/5LuyT36HzCEJjbVEPC1sBx,https://api.spotify.com/v1/audio-analysis/5LuyT36HzCEJjbVEPC1sBx,208167,4
RESCUE,Johnny 2 Phones,spotify:track:4qnVxBglqdM4IQRZpzT2mp,0.87,0.602,1,-9.238,1,0.123,0.201,1.2e-05,0.326,0.969,127.978,audio_features,4qnVxBglqdM4IQRZpzT2mp,spotify:track:4qnVxBglqdM4IQRZpzT2mp,https://api.spotify.com/v1/tracks/4qnVxBglqdM4IQRZpzT2mp,https://api.spotify.com/v1/audio-analysis/4qnVxBglqdM4IQRZpzT2mp,157995,4
You & I,Dabeull,spotify:track:4FKuIlfFCIcvpg7M2HJhwx,0.807,0.66,11,-6.266,0,0.0826,0.0325,0.0481,0.119,0.658,115.176,audio_features,4FKuIlfFCIcvpg7M2HJhwx,spotify:track:4FKuIlfFCIcvpg7M2HJhwx,https://api.spotify.com/v1/tracks/4FKuIlfFCIcvpg7M2HJhwx,https://api.spotify.com/v1/audio-analysis/4FKuIlfFCIcvpg7M2HJhwx,208899,4
Day & Night,Dabeull,spotify:track:09iktHjNiTzCX6YT5XKScx,0.86,0.569,7,-7.221,1,0.0828,0.0413,0.34,0.0857,0.36,109.078,audio_features,09iktHjNiTzCX6YT5XKScx,spotify:track:09iktHjNiTzCX6YT5XKScx,https://api.spotify.com/v1/tracks/09iktHjNiTzCX6YT5XKScx,https://api.spotify.com/v1/audio-analysis/09iktHjNiTzCX6YT5XKScx,216149,4
Santeria,Pusha T,spotify:track:4LKSaRoKNnlpKXTT663BrT,0.621,0.678,8,-4.104,1,0.197,0.142,0,0.098,0.0883,88.677,audio_features,4LKSaRoKNnlpKXTT663BrT,spotify:track:4LKSaRoKNnlpKXTT663BrT,https://api.spotify.com/v1/tracks/4LKSaRoKNnlpKXTT663BrT,https://api.spotify.com/v1/audio-analysis/4LKSaRoKNnlpKXTT663BrT,176027,4
Machette,Daytona99,spotify:track:2J3KaiMrIvDGnAMJ7qdG2i,0.699,0.589,6,-6.804,1,0.201,0.326,2.83e-05,0.328,0.362,102.696,audio_features,2J3KaiMrIvDGnAMJ7qdG2i,spotify:track:2J3KaiMrIvDGnAMJ7qdG2i,https://api.spotify.com/v1/tracks/2J3KaiMrIvDGnAMJ7qdG2i,https://api.spotify.com/v1/audio-analysis/2J3KaiMrIvDGnAMJ7qdG2i,160000,4
So and So,Saba,spotify:track:4jkQY3kryVNYe4jGJ3nChu,0.93,0.32,5,-11.715,0,0.0956,0.0139,0.165,0.148,0.0977,120.064,audio_features,4jkQY3kryVNYe4jGJ3nChu,spotify:track:4jkQY3kryVNYe4jGJ3nChu,https://api.spotify.com/v1/tracks/4jkQY3kryVNYe4jGJ3nChu,https://api.spotify.com/v1/audio-analysis/4jkQY3kryVNYe4jGJ3nChu,121280,4
Keeping On,Jay-Way,spotify:track:70d7mKdWHKtw1YL6BZXOrL,0.566,0.487,6,-10.018,1,0.136,0.183,0,0.354,0.209,75.023,audio_features,70d7mKdWHKtw1YL6BZXOrL,spotify:track:70d7mKdWHKtw1YL6BZXOrL,https://api.spotify.com/v1/tracks/70d7mKdWHKtw1YL6BZXOrL,https://api.spotify.com/v1/audio-analysis/70d7mKdWHKtw1YL6BZXOrL,191600,4
Beige,TOBi,spotify:track:1j8JinU0JnX1FFdF2pLGOi,0.614,0.54,0,-6.13,1,0.385,0.369,0,0.0707,0.486,78.734,audio_features,1j8JinU0JnX1FFdF2pLGOi,spotify:track:1j8JinU0JnX1FFdF2pLGOi,https://api.spotify.com/v1/tracks/1j8JinU0JnX1FFdF2pLGOi,https://api.spotify.com/v1/audio-analysis/1j8JinU0JnX1FFdF2pLGOi,171000,4
Run Down,Salim,spotify:track:1aTjTcXvvQPHXX05GJZRN2,0.45,0.445,6,-11.373,0,0.172,0.204,0,0.377,0.15,96.781,audio_features,1aTjTcXvvQPHXX05GJZRN2,spotify:track:1aTjTcXvvQPHXX05GJZRN2,https://api.spotify.com/v1/tracks/1aTjTcXvvQPHXX05GJZRN2,https://api.spotify.com/v1/audio-analysis/1aTjTcXvvQPHXX05GJZRN2,186735,4
